ticker,date,open,high,low,close,volume,percentchange
TCEHY,6-Nov-18,37.1,37.87,37.01,37.4,4414600,-2.075471698
TCEHY,7-Nov-18,38.215,38.68,37.975,38.65,5928700,-1.216799686
TCEHY,8-Nov-18,37.345,37.37,36.3,36.5,7969100,-0.066943366
TCEHY,9-Nov-18,35.28,35.29,34.26,34.82,8848000,-0.028344671
TCEHY,12-Nov-18,34.29,34.32,33.4,33.73,4188900,-0.087489064
TCEHY,13-Nov-18,34.75,35.93,34.45,35.1,6534100,-3.395683453
TCEHY,14-Nov-18,36.71,37.22,36.46,36.6,9505300,-1.38926723
TCEHY,15-Nov-18,36.65,37.66,36.51,37.63,5070800,-2.75579809
TCEHY,16-Nov-18,37.07,37.73,36.95,37.47,3011100,-1.78041543
TCEHY,19-Nov-18,37.1,37.32,36.26,36.48,4382100,-0.592991914
TCEHY,20-Nov-18,34.87,36.05,34.3,35.528,4423300,-3.383997706
TCEHY,21-Nov-18,37.7,37.75,36.81,37.15,3188600,-0.132625995
TCEHY,22-Nov-18,37.15,37.15,37.15,37.15,0,0
TCEHY,23-Nov-18,37.03,37.28,36.88,37.03,794500,-0.675128274
TCEHY,26-Nov-18,38.56,38.68,38.24,38.3,3587900,-0.31120332
TCEHY,27-Nov-18,38.58,39.02,38.28,38.84,3010500,-1.140487299
